Name,Distance,Kindergarten,First,Third,Fifth,Eighth
0294005C,25.010,54.849,56.234,54.081,52.975,65.999
0834006C,27.209,52.167,55.957,61.835,0.0,0.0
0273022C,28.143,58.113,54.822,54.999,52.365,49.447
0635016C,23.778,59.453,54.839,54.124,0.0,0.0
0748015C,29.148,52.247,52.055,53.62,50.686,49.634
0885018C,25.929,52.142,49.945,52.109,46.171,47.14
3102014C,28.938,52.556,55.056,52.565,0.0,0.0
0196018C,24.964,54.36,56.064,47.902,50.572,58.495
0647017C,29.078,57.949,56.056,56.002,0.0,0.0
0288001C,28.763,51.724,53.303,49.196,52.413,50.732
0401014C,27.879,58.674,58.338,60.27,56.645,44.569
0717013C,28.548,62.778,57.291,58.077,63.518,51.33
0887006C,28.938,53.247,50.517,48.883,0.0,0.0
1188013C,24.705,56.544,57.323,52.588,58.467,59.468
0253023C,29.234,61.967,53.954,44.363,39.105,0.0
0044002C,28.603,60.866,58.821,52.827,53.32,63.369
0057022C,28.555,54.883,64.255,54.02,55.042,63.573
2046002C,16.918,51.392,57.653,52.875,50.889,42.98
0044022C,28.644,61.694,57.155,54.503,57.564,61.546
0414004C,27.032,58.884,58.916,52.465,49.643,0.0
0737018C,18.030,52.367,57.728,51.336,47.845,52.555
2095014C,25.947,56.416,54.864,52.224,55.521,50.865
1045018C,28.945,47.532,52.923,53.162,58.267,58.686
0095016C,25.719,60.705,58.949,54.429,53.327,53.097
3103001C,24.682,55.248,54.373,51.16,47.264,52.82
0829005C,25.615,52.463,55.499,54.836,58.143,54.379
0122009C,26.204,55.773,56.367,51.181,0.0,0.0
0028006C,27.973,56.863,52.452,47.52,51.253,50.876
0212018C,22.790,58.949,58.313,54.218,0.0,0.0
0481002C,28.434,56.074,55.093,56.688,50.986,52.996
0753012C,23.938,51.919,59.454,52.465,48.674,48.529
0318009C,27.529,52.085,47.938,49.158,0.0,0.0
0333018C,28.726,54.501,65.373,58.846,63.499,59.021
0044023C,28.583,55.072,49.706,57.51,58.574,0.0
2066002C,26.407,65.789,56.84,50.573,0.0,0.0
1204023C,24.903,54.776,53.381,53.732,58.784,58.701
1189011C,28.549,60.198,54.362,54.081,0.0,0.0
0377017C,29.045,55.775,58.817,59.807,59.958,55.008
0601006C,28.621,50.592,58.163,59.444,0.0,0.0
0474014C,25.172,53.576,55.669,56.467,51.934,54.214
0663005C,28.583,55.238,50.937,47.334,41.97,0.0
1204009C,28.792,49.928,61.984,52.572,49.595,49.684
0527020C,29.143,50.206,56.142,54.18,62.137,53.84
0414016C,22.546,57.943,58.235,52.387,53.258,49.96
0376008C,26.599,53.051,54.265,55.831,54.199,54.098
0891019C,25.662,56.08,58.052,46.602,40.365,0.0
0598002C,26.826,54.341,59.166,55.131,56.902,51.448
0671009C,24.455,54.03,63.253,53.722,0.0,0.0
1274022C,27.537,53.144,53.154,52.679,54.847,62.065
3102008C,27.099,57.39,52.942,51.211,0.0,0.0
0754012C,28.390,57.115,53.105,55.363,0.0,0.0
0376010C,28.888,53.587,53.767,57.777,0.0,0.0
1094009C,23.630,56.082,59.645,52.773,61.863,0.0
1265001C,26.337,58.262,60.027,57.429,0.0,0.0
0162015C,24.304,52.293,57.13,59.421,59.836,48.038
0052013C,22.536,59.766,59.58,52.893,53.525,52.104
0443011C,20.702,57.277,54.337,52.773,0.0,0.0
0376004C,28.444,60.249,55.316,52.717,55.08,58.383
0671008C,24.643,55.189,54.629,52.758,51.625,49.487
0489022C,27.459,55.339,56.764,52.356,50.35,0.0
1277008C,28.651,54.925,59.046,53.811,52.968,48.332
0750007C,24.410,55.824,57.361,53.595,51.789,53.103
0626009C,25.231,53.471,53.845,46.187,0.0,0.0
1165012C,24.571,59.923,57.308,51.656,63.561,50.462
3047004C,27.625,55.486,58.783,51.72,52.73,50.004
0162024C,23.004,67.1,62.44,51.117,51.617,48.54
0474007C,28.512,53.44,53.788,52.9,55.137,53.3
0343011C,25.996,57.558,60.914,47.477,49.167,0.0
0161006C,28.275,55.261,62.23,52.636,0.0,0.0
0243011C,28.786,62.274,54.537,50.797,59.567,51.541
1040016C,29.492,54.137,50.79,55.841,52.58,54.322
1194002C,21.254,55.912,55.657,54.567,53.739,0.0
0083002C,29.530,58.781,54.232,52.6,57.436,57.886
0474001C,28.448,49.836,51.237,45.67,48.869,0.0
1071012C,26.178,51.268,52.402,53.73,59.505,59.31
0443008C,24.926,55.95,57.781,53.127,58.915,59.33
0533002C,25.880,55.838,57.243,53.547,49.179,48.97
1147023C,28.996,58.113,56.619,53.918,0.0,0.0
0015014C,20.112,57.739,51.473,51.977,59.293,60.001
3006018C,27.314,62.935,57.701,52.534,49.245,53.048
0751013C,23.571,55.433,55.098,51.382,0.0,0.0
0737004C,27.056,55.231,54.95,52.824,57.521,59.67
3025004C,24.969,52.787,56.718,52.298,64.147,58.534
0196026C,25.397,58.214,56.136,51.173,49.61,52.568
3022011C,25.608,54.648,57.464,56.765,0.0,0.0
3006002C,21.690,57.462,57.199,55.61,59.305,58.861
1147024C,16.743,54.673,54.921,54.396,0.0,0.0
1204005C,28.279,52.959,51.313,53.758,53.204,0.0
1249009C,24.629,62.185,56.798,54.172,0.0,0.0
0665019C,24.768,56.798,57.775,53.539,54.663,45.285
0056009C,20.068,52.415,55.133,54.002,56.309,67.724
0288008C,21.040,55.54,55.812,52.61,56.362,57.292
3024007C,24.252,52.045,58.002,48.436,49.241,44.08
3054018C,24.617,53.755,57.882,52.465,0.0,0.0
1269019C,24.043,52.392,59.721,50.42,52.992,54.843
0952019C,28.019,53.532,54.11,52.343,48.948,50.583
0333014C,27.094,60.583,58.664,50.672,0.0,0.0
3038011C,25.924,55.087,54.364,45.253,0.0,0.0
2060019C,26.331,55.198,56.358,55.154,53.561,60.759
2046009C,19.607,58.069,57.201,53.193,56.6,54.975
